source,game,period,draw_date,draw,trial,open_no,source_url,source_note,non_official,status_code,parse_ok,error
彩宝网/8200,排列三,2023215,2023-08-13,480,738,,https://www.8200.cn/kjh/p3/2023215.htm,排列三页面所列三位试机号；排列三与排列五共用同一期体彩摇奖流程。,否,200,是,
一定牛/ydniu,排列五,2023215,2023-08-13,48032,07920,,https://m.ydniu.com/kaijiang/pl5/sjh/2023215.html,页面明确标注为排列五五位模拟试机号，属于互联网模拟数据，不是官方试机号。,是,200,是,
3D之家/3d178,福彩3D,2023215,2023-08-13,308,162,,https://www.3d178.cn/kaijiang/2023/2023215.shtml,3D之家页面所列试机号；与彩宝网口径可能不同，原样独立保留。,否,200,是,
彩宝网/8200,福彩3D,2023215,2023-08-13,308,162,802,https://www.8200.cn/kjh/3d/2023215.htm,福彩3D页面口径：同时列出开机号与试机号。,否,200,是,
彩宝网/8200,排列三,2023216,2023-08-14,138,987,,https://www.8200.cn/kjh/p3/2023216.htm,排列三页面所列三位试机号；排列三与排列五共用同一期体彩摇奖流程。,否,200,是,
一定牛/ydniu,排列五,2023216,2023-08-14,13897,11379,,https://m.ydniu.com/kaijiang/pl5/sjh/2023216.html,页面明确标注为排列五五位模拟试机号，属于互联网模拟数据，不是官方试机号。,是,200,是,
3D之家/3d178,福彩3D,2023216,2023-08-14,187,196,,https://www.3d178.cn/kaijiang/2023/2023216.shtml,3D之家页面所列试机号；与彩宝网口径可能不同，原样独立保留。,否,200,是,
彩宝网/8200,福彩3D,2023216,2023-08-14,187,196,395,https://www.8200.cn/kjh/3d/2023216.htm,福彩3D页面口径：同时列出开机号与试机号。,否,200,是,
彩宝网/8200,排列三,2023217,2023-08-15,748,531,,https://www.8200.cn/kjh/p3/2023217.htm,排列三页面所列三位试机号；排列三与排列五共用同一期体彩摇奖流程。,否,200,是,
一定牛/ydniu,排列五,2023217,2023-08-15,74883,75394,,https://m.ydniu.com/kaijiang/pl5/sjh/2023217.html,页面明确标注为排列五五位模拟试机号，属于互联网模拟数据，不是官方试机号。,是,200,是,
3D之家/3d178,福彩3D,2023217,2023-08-15,811,836,,https://www.3d178.cn/kaijiang/2023/2023217.shtml,3D之家页面所列试机号；与彩宝网口径可能不同，原样独立保留。,否,200,是,
彩宝网/8200,福彩3D,2023217,2023-08-15,811,836,071,https://www.8200.cn/kjh/3d/2023217.htm,福彩3D页面口径：同时列出开机号与试机号。,否,200,是,
